category,total_images,valid_images,invalid_images,train_images,val_images,test_images,augmented_images,error_files
kolakanda,103,24,79,14,3,4,14,"[('images-10.jpeg', 'Resolution too low: 267x189'), ('images-101.jpeg', 'Resolution too low: 289x175'), ('images-102.jpeg', 'Resolution too low: 300x168'), ('images-103.jpeg', 'Resolution too low: 243x208'), ('images-104.jpeg', 'Resolution too low: 222x227'), ('images-105.jpeg', 'Resolution too low: 300x168'), ('images-107.jpeg', 'Resolution too low: 267x189'), ('images-108.jpeg', 'Resolution too low: 256x197'), ('images-110.jpeg', 'Resolution too low: 256x197'), ('images-111.jpeg', 'Resolution too low: 213x237'), ('images-112.jpeg', 'Resolution too low: 289x175'), ('images-113.jpeg', 'Resolution too low: 259x194'), ('images-114.jpeg', 'Resolution too low: 300x168'), ('images-115.jpeg', 'Resolution too low: 279x180'), ('images-116.jpeg', 'Resolution too low: 169x299'), ('images-117.jpeg', 'Resolution too low: 300x168'), ('images-118.jpeg', 'Resolution too low: 275x183'), ('images-119.jpeg', 'Resolution too low: 289x175'), ('images-12.jpeg', 'Resolution too low: 310x163'), ('images-120.jpeg', 'Resolution too low: 259x194'), ('images-122.jpeg', 'Resolution too low: 194x259'), ('images-123.jpeg', 'Resolution too low: 216x233'), ('images-124.jpeg', 'Resolution too low: 259x194'), ('images-126.jpeg', 'Resolution too low: 300x168'), ('images-127.jpeg', 'Resolution too low: 265x190'), ('images-128.jpeg', 'Resolution too low: 201x251'), ('images-13.jpeg', 'Resolution too low: 299x168'), ('images-130.jpeg', 'Resolution too low: 194x259'), ('images-132.jpeg', 'Resolution too low: 239x150'), ('images-133.jpeg', 'Resolution too low: 194x259'), ('images-134.jpeg', 'Resolution too low: 275x183'), ('images-137.jpeg', 'Resolution too low: 275x183'), ('images-139.jpeg', 'Resolution too low: 246x205'), ('images-14.jpeg', 'Resolution too low: 259x194'), ('images-141.jpeg', 'Resolution too low: 310x162'), ('images-142.jpeg', 'Resolution too low: 259x194'), ('images-143.jpeg', 'Resolution too low: 275x183'), ('images-145.jpeg', 'Resolution too low: 275x183'), ('images-146.jpeg', 'Resolution too low: 300x168'), ('images-147.jpeg', 'Resolution too low: 178x283'), ('images-148.jpeg', 'Resolution too low: 197x256'), ('images-149.jpeg', 'Resolution too low: 195x258'), ('images-15.jpeg', 'Resolution too low: 259x194'), ('images-150.jpeg', 'Resolution too low: 300x168'), ('images-151.jpeg', 'Resolution too low: 158x234'), ('images-152.jpeg', 'Resolution too low: 194x259'), ('images-153.jpeg', 'Resolution too low: 194x259'), ('images-154.jpeg', 'Resolution too low: 268x188'), ('images-155.jpeg', 'Resolution too low: 278x181'), ('images-157.jpeg', 'Resolution too low: 194x259'), ('images-158.jpeg', 'Resolution too low: 311x162'), ('images-159.jpeg', 'Resolution too low: 300x168'), ('images-160.jpeg', 'Resolution too low: 310x163'), ('images-161.jpeg', 'Resolution too low: 300x168'), ('images-162.jpeg', 'Resolution too low: 267x189'), ('images-163.jpeg', 'Resolution too low: 177x285'), ('images-164.jpeg', 'Resolution too low: 168x300'), ('images-166.jpeg', 'Resolution too low: 201x251'), ('images-167.jpeg', 'Resolution too low: 299x168'), ('images-168.jpeg', 'Resolution too low: 310x163'), ('images-169.jpeg', 'Resolution too low: 197x256'), ('images-17.jpeg', 'Resolution too low: 201x251'), ('images-170.jpeg', 'Resolution too low: 275x183'), ('images-171.jpeg', 'Resolution too low: 259x194'), ('images-172.jpeg', 'Resolution too low: 259x194'), ('images-174.jpeg', 'Resolution too low: 201x251'), ('images-176.jpeg', 'Resolution too low: 194x259'), ('images-177.jpeg', 'Resolution too low: 274x184'), ('images-18.jpeg', 'Resolution too low: 299x168'), ('images-182.jpeg', 'Resolution too low: 194x259'), ('images-183.jpeg', 'Resolution too low: 265x190'), ('images-184.jpeg', 'Resolution too low: 204x247'), ('images-19.jpeg', 'Resolution too low: 259x194'), ('images-22.jpeg', 'Resolution too low: 265x190'), ('images-23.jpeg', 'Resolution too low: 194x259'), ('images-5.jpeg', 'Resolution too low: 275x183'), ('images-6.jpeg', 'Resolution too low: 201x251'), ('images-7.jpeg', 'Resolution too low: 194x259'), ('images-9.jpeg', 'Resolution too low: 300x168')]"
casava,44,43,1,30,6,7,0,"[('images-17.jpeg', 'Resolution too low: 300x168')]"
bathala,49,49,0,34,7,8,0,[]
karawila,100,58,42,40,8,10,0,"[('images-10.jpeg', 'Resolution too low: 189x267'), ('images-11.jpeg', 'Resolution too low: 275x183'), ('images-12.jpeg', 'Resolution too low: 237x213'), ('images-14.jpeg', 'Resolution too low: 189x267'), ('images-15.jpeg', 'Resolution too low: 300x168'), ('images-16.jpeg', 'Resolution too low: 215x234'), ('images-18.jpeg', 'Resolution too low: 259x194'), ('images-19.jpeg', 'Resolution too low: 265x190'), ('images-20.jpeg', 'Resolution too low: 269x187'), ('images-21.jpeg', 'Resolution too low: 259x194'), ('images-23.jpeg', 'Resolution too low: 244x206'), ('images-25.jpeg', 'Resolution too low: 250x161'), ('images-26.jpeg', 'Resolution too low: 275x183'), ('images-27.jpeg', 'Resolution too low: 265x190'), ('images-28.jpeg', 'Resolution too low: 194x259'), ('images-29.jpeg', 'Resolution too low: 289x175'), ('images-30.jpeg', 'Resolution too low: 231x218'), ('images-32.jpeg', 'Resolution too low: 199x253'), ('images-33.jpeg', 'Resolution too low: 275x183'), ('images-34.jpeg', 'Resolution too low: 318x159'), ('images-35.jpeg', 'Resolution too low: 194x259'), ('images-37.jpeg', 'Resolution too low: 271x186'), ('images-39.jpeg', 'Resolution too low: 275x183'), ('images-40.jpeg', 'Resolution too low: 262x192'), ('images-41.jpeg', 'Resolution too low: 250x202'), ('images-42.jpeg', 'Resolution too low: 250x202'), ('images-43.jpeg', 'Resolution too low: 254x199'), ('images-44.jpeg', 'Resolution too low: 274x184'), ('images-45.jpeg', 'Resolution too low: 299x169'), ('images-46.jpeg', 'Resolution too low: 275x183'), ('images-5 copy 2.jpeg', 'Resolution too low: 265x190'), ('images-5 copy.jpeg', 'Resolution too low: 275x183'), ('images-5.jpeg', 'Resolution too low: 275x183'), ('images-6 copy 2.jpeg', 'Resolution too low: 275x183'), ('images-6 copy.jpeg', 'Resolution too low: 304x166'), ('images-6.jpeg', 'Resolution too low: 289x175'), ('images-7 copy 2.jpeg', 'Resolution too low: 173x280'), ('images-7 copy.jpeg', 'Resolution too low: 281x179'), ('images-7.jpeg', 'Resolution too low: 183x275'), ('images-9 copy.jpeg', 'Resolution too low: 265x190'), ('images-9.jpeg', 'Resolution too low: 275x183'), ('istockphoto-1361281303-612x612.jpg', 'Resolution too low: 612x188')]"
kurakkkan,34,3,31,2,0,1,20,"[('images-10.jpeg', 'Resolution too low: 194x259'), ('images-11.jpeg', 'Resolution too low: 286x176'), ('images-12.jpeg', 'Resolution too low: 300x168'), ('images-13.jpeg', 'Resolution too low: 300x168'), ('images-14.jpeg', 'Resolution too low: 201x251'), ('images-15.jpeg', 'Resolution too low: 201x251'), ('images-16.jpeg', 'Resolution too low: 259x194'), ('images-18.jpeg', 'Resolution too low: 270x187'), ('images-19.jpeg', 'Resolution too low: 275x183'), ('images-20.jpeg', 'Resolution too low: 250x202'), ('images-21.jpeg', 'Resolution too low: 300x168'), ('images-22.jpeg', 'Resolution too low: 195x259'), ('images-23.jpeg', 'Resolution too low: 259x194'), ('images-24.jpeg', 'Resolution too low: 300x168'), ('images-25.jpeg', 'Resolution too low: 300x168'), ('images-26.jpeg', 'Resolution too low: 300x168'), ('images-27.jpeg', 'Resolution too low: 259x194'), ('images-28.jpeg', 'Resolution too low: 285x177'), ('images-30.jpeg', 'Resolution too low: 322x156'), ('images-31.jpeg', 'Resolution too low: 299x168'), ('images-32.jpeg', 'Resolution too low: 201x251'), ('images-33.jpeg', 'Resolution too low: 259x194'), ('images-34.jpeg', 'Resolution too low: 300x168'), ('images-35.jpeg', 'Resolution too low: 239x150'), ('images-36.jpeg', 'Resolution too low: 300x168'), ('images-37.jpeg', 'Resolution too low: 259x194'), ('images-38.jpeg', 'Resolution too low: 258x195'), ('images-5.jpeg', 'Resolution too low: 193x261'), ('images-6.jpeg', 'Resolution too low: 194x259'), ('images-7.jpeg', 'Resolution too low: 275x183'), ('images-9.jpeg', 'Resolution too low: 259x194')]"
POLOS,23,13,10,9,1,3,18,"[('images-10.jpeg', 'Resolution too low: 259x194'), ('images-11.jpeg', 'Resolution too low: 246x205'), ('images-12.jpeg', 'Resolution too low: 194x259'), ('images-13.jpeg', 'Resolution too low: 262x193'), ('images-14.jpeg', 'Resolution too low: 190x266'), ('images-15.jpeg', 'Resolution too low: 259x194'), ('images-17.jpeg', 'Resolution too low: 259x194'), ('images-5.jpeg', 'Resolution too low: 300x168'), ('images-6.jpeg', 'Resolution too low: 259x194'), ('images-7.jpeg', 'Resolution too low: 183x275')]"
kos,91,48,43,33,7,8,0,"[('images-10.jpeg', 'Resolution too low: 275x183'), ('images-11 copy.jpeg', 'Resolution too low: 300x168'), ('images-11.jpeg', 'Resolution too low: 275x183'), ('images-12.jpeg', 'Resolution too low: 183x276'), ('images-13 copy.jpeg', 'Resolution too low: 194x259'), ('images-13.jpeg', 'Resolution too low: 300x168'), ('images-14 copy.jpeg', 'Resolution too low: 259x194'), ('images-15 copy.jpeg', 'Resolution too low: 299x168'), ('images-15.jpeg', 'Resolution too low: 190x265'), ('images-16.jpeg', 'Resolution too low: 213x236'), ('images-17.jpeg', 'Resolution too low: 259x194'), ('images-18 copy 2.jpeg', 'Resolution too low: 231x218'), ('images-18 copy.jpeg', 'Resolution too low: 275x183'), ('images-18.jpeg', 'Resolution too low: 219x230'), ('images-19.jpeg', 'Resolution too low: 290x174'), ('images-20.jpeg', 'Resolution too low: 300x168'), ('images-21.jpeg', 'Resolution too low: 276x183'), ('images-22.jpeg', 'Resolution too low: 252x200'), ('images-23.jpeg', 'Resolution too low: 183x275'), ('images-24.jpeg', 'Resolution too low: 275x183'), ('images-25.jpeg', 'Resolution too low: 259x194'), ('images-26.jpeg', 'Resolution too low: 301x167'), ('images-27.jpeg', 'Resolution too low: 277x182'), ('images-29.jpeg', 'Resolution too low: 265x190'), ('images-30.jpeg', 'Resolution too low: 275x183'), ('images-31.jpeg', 'Resolution too low: 194x259'), ('images-32.jpeg', 'Resolution too low: 269x187'), ('images-34.jpeg', 'Resolution too low: 318x159'), ('images-36.jpeg', 'Resolution too low: 275x183'), ('images-37.jpeg', 'Resolution too low: 314x161'), ('images-38.jpeg', 'Resolution too low: 183x275'), ('images-40.jpeg', 'Resolution too low: 275x183'), ('images-41.jpeg', 'Resolution too low: 183x275'), ('images-42.jpeg', 'Resolution too low: 259x194'), ('images-43.jpeg', 'Resolution too low: 275x183'), ('images-5 copy.jpeg', 'Resolution too low: 299x168'), ('images-5.jpeg', 'Resolution too low: 311x162'), ('images-6 copy.jpeg', 'Resolution too low: 259x194'), ('images-6.jpeg', 'Resolution too low: 199x254'), ('images-7 copy.jpeg', 'Resolution too low: 247x204'), ('images-7.jpeg', 'Resolution too low: 183x275'), ('images-9 copy.jpeg', 'Resolution too low: 183x275'), ('images-9.jpeg', 'Resolution too low: 268x188')]"
munpiyali,42,42,0,28,6,7,0,[]
redkawwpi,101,41,60,28,6,6,0,"[('images-11.jpeg', 'Resolution too low: 300x168'), ('images-13.jpeg', 'Resolution too low: 259x194'), ('images-14.jpeg', 'Resolution too low: 275x183'), ('images-15.jpeg', 'Resolution too low: 259x194'), ('images-16.jpeg', 'Resolution too low: 183x275'), ('images-186.jpeg', 'Resolution too low: 275x183'), ('images-188.jpeg', 'Resolution too low: 251x201'), ('images-189.jpeg', 'Resolution too low: 190x266'), ('images-195.jpeg', 'Resolution too low: 275x183'), ('images-196.jpeg', 'Resolution too low: 235x214'), ('images-198.jpeg', 'Resolution too low: 275x183'), ('images-199.jpeg', 'Resolution too low: 217x232'), ('images-200.jpeg', 'Resolution too low: 200x252'), ('images-201.jpeg', 'Resolution too low: 213x236'), ('images-205.jpeg', 'Resolution too low: 275x183'), ('images-206.jpeg', 'Resolution too low: 252x200'), ('images-207.jpeg', 'Resolution too low: 228x221'), ('images-209.jpeg', 'Resolution too low: 275x183'), ('images-211.jpeg', 'Resolution too low: 275x183'), ('images-212.jpeg', 'Resolution too low: 223x226'), ('images-213.jpeg', 'Resolution too low: 275x183'), ('images-214.jpeg', 'Resolution too low: 194x259'), ('images-217.jpeg', 'Resolution too low: 275x183'), ('images-218.jpeg', 'Resolution too low: 259x194'), ('images-220.jpeg', 'Resolution too low: 262x193'), ('images-222.jpeg', 'Resolution too low: 275x183'), ('images-223.jpeg', 'Resolution too low: 183x275'), ('images-225.jpeg', 'Resolution too low: 183x275'), ('images-227.jpeg', 'Resolution too low: 276x183'), ('images-228.jpeg', 'Resolution too low: 259x195'), ('images-230.jpeg', 'Resolution too low: 203x248'), ('images-232.jpeg', 'Resolution too low: 259x194'), ('images-233.jpeg', 'Resolution too low: 275x183'), ('images-234.jpeg', 'Resolution too low: 259x194'), ('images-236.jpeg', 'Resolution too low: 272x185'), ('images-238.jpeg', 'Resolution too low: 291x173'), ('images-239.jpeg', 'Resolution too low: 156x322'), ('images-240.jpeg', 'Resolution too low: 183x275'), ('images-241.jpeg', 'Resolution too low: 203x249'), ('images-242.jpeg', 'Resolution too low: 268x188'), ('images-243.jpeg', 'Resolution too low: 246x205'), ('images-246.jpeg', 'Resolution too low: 259x194'), ('images-247.jpeg', 'Resolution too low: 254x198'), ('images-249.jpeg', 'Resolution too low: 248x203'), ('images-251.jpeg', 'Resolution too low: 275x183'), ('images-252.jpeg', 'Resolution too low: 275x183'), ('images-253.jpeg', 'Resolution too low: 259x194'), ('images-255.jpeg', 'Resolution too low: 226x223'), ('images-258.jpeg', 'Resolution too low: 275x183'), ('images-261.jpeg', 'Resolution too low: 275x183'), ('images-5 copy 2.jpeg', 'Resolution too low: 275x183'), ('images-5.jpeg', 'Resolution too low: 203x248'), ('images-6 copy 2.jpeg', 'Resolution too low: 299x168'), ('images-6 copy 4.jpeg', 'Resolution too low: 275x183'), ('images-6 copy.jpeg', 'Resolution too low: 275x183'), ('images-6.jpeg', 'Resolution too low: 275x183'), ('images-7 copy 2.jpeg', 'Resolution too low: 268x188'), ('images-7.jpeg', 'Resolution too low: 275x183'), ('images-9 copy.jpeg', 'Resolution too low: 246x205'), ('images-9.jpeg', 'Resolution too low: 267x189')]"
red_rice,47,43,4,30,6,7,0,"[('download (4).jpg', 'Resolution too low: 299x168'), ('download (8).jpg', 'Resolution too low: 299x168'), ('images (11).jpg', 'Resolution too low: 318x159'), ('images (20).jpg', 'Resolution too low: 279x180')]"
thebu,63,16,47,11,2,3,11,"[('images-100.jpeg', 'Resolution too low: 289x174'), ('images-39.jpeg', 'Resolution too low: 250x202'), ('images-40.jpeg', 'Resolution too low: 275x183'), ('images-42.jpeg', 'Resolution too low: 200x177'), ('images-48.jpeg', 'Resolution too low: 150x114'), ('images-49.jpeg', 'Resolution too low: 275x183'), ('images-50.jpeg', 'Resolution too low: 195x259'), ('images-51.jpeg', 'Resolution too low: 266x190'), ('images-52.jpeg', 'Resolution too low: 194x259'), ('images-54.jpeg', 'Resolution too low: 201x251'), ('images-55.jpeg', 'Resolution too low: 310x163'), ('images-56.jpeg', 'Resolution too low: 259x194'), ('images-58.jpeg', 'Resolution too low: 275x183'), ('images-60.jpeg', 'Resolution too low: 178x283'), ('images-61.jpeg', 'Resolution too low: 259x194'), ('images-63.jpeg', 'Resolution too low: 251x201'), ('images-64.jpeg', 'Resolution too low: 194x259'), ('images-65.jpeg', 'Resolution too low: 244x207'), ('images-67.jpeg', 'Resolution too low: 194x259'), ('images-68.jpeg', 'Resolution too low: 259x194'), ('images-69.jpeg', 'Resolution too low: 275x183'), ('images-70.jpeg', 'Resolution too low: 265x190'), ('images-71.jpeg', 'Resolution too low: 259x194'), ('images-72.jpeg', 'Resolution too low: 194x259'), ('images-73.jpeg', 'Resolution too low: 195x259'), ('images-74.jpeg', 'Resolution too low: 290x174'), ('images-75.jpeg', 'Resolution too low: 194x259'), ('images-76.jpeg', 'Resolution too low: 201x251'), ('images-78.jpeg', 'Resolution too low: 201x251'), ('images-79.jpeg', 'Resolution too low: 194x259'), ('images-80.jpeg', 'Resolution too low: 194x259'), ('images-81.jpeg', 'Resolution too low: 194x259'), ('images-82.jpeg', 'Resolution too low: 259x194'), ('images-83.jpeg', 'Resolution too low: 299x168'), ('images-84.jpeg', 'Resolution too low: 259x194'), ('images-85.jpeg', 'Resolution too low: 187x269'), ('images-86.jpeg', 'Resolution too low: 195x259'), ('images-87.jpeg', 'Resolution too low: 174x290'), ('images-88.jpeg', 'Resolution too low: 307x164'), ('images-89.jpeg', 'Resolution too low: 194x259'), ('images-90.jpeg', 'Resolution too low: 265x190'), ('images-91.jpeg', 'Resolution too low: 300x168'), ('images-93.jpeg', 'Resolution too low: 219x230'), ('images-95.jpeg', 'Resolution too low: 229x220'), ('images-96.jpeg', 'Resolution too low: 194x259'), ('images-97.jpeg', 'Resolution too low: 194x259'), ('images-99.jpeg', 'Resolution too low: 173x280')]"
white rice,51,51,0,35,7,9,0,[]
